op,dtype,layout,mem,bcast,accepted,pcc_or_reason,input_range,pcc,ulp
acos,bfloat4_b,tile,width,none,OK,pass,[0.1..0.85],0.961811,
acos,bfloat8_b,rm,block,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat8_b,rm,dram,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat8_b,rm,height,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat8_b,rm,l1,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat8_b,rm,width,none,FAIL,TT_FATAL @ /project/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat8_b,tile,block,none,OK,pass,[0.1..0.85],0.999738,5.000
acos,bfloat8_b,tile,dram,none,OK,pass,[0.1..0.85],0.999777,5.000
acos,bfloat8_b,tile,height,none,OK,pass,[0.1..0.85],0.999751,6.000
acos,bfloat8_b,tile,l1,none,OK,pass,[0.1..0.85],0.999786,5.000
acos,bfloat8_b,tile,width,none,OK,pass,[0.1..0.85],0.999746,6.000
acos,float32,rm,block,none,OK,pass,[0.1..0.85],1.000000,54.000
acos,float32,rm,dram,none,OK,pass,[0.1..0.85],1.000000,53.000
acos,float32,rm,height,none,OK,pass,[0.1..0.85],1.000000,53.000
acos,float32,rm,l1,none,OK,pass,[0.1..0.85],1.000000,52.000
acos,float32,rm,width,none,OK,pass,[0.1..0.85],1.000000,54.000
acos,float32,tile,block,none,OK,pass,[0.1..0.85],1.000000,53.000
acos,float32,tile,dram,none,OK,pass,[0.1..0.85],1.000000,53.000
acos,float32,tile,height,none,OK,pass,[0.1..0.85],1.000000,53.000
acos,float32,tile,l1,none,OK,pass,[0.1..0.85],1.000000,53.000
acos,float32,tile,width,none,OK,pass,[0.1..0.85],1.000000,53.000
acos,int32,rm,block,none,OK,fail,[1..49],1.000000,
acos,int32,rm,dram,none,OK,fail,[1..49],1.000000,
acos,int32,rm,height,none,OK,fail,[1..49],1.000000,
acos,int32,rm,l1,none,OK,fail,[1..49],1.000000,
acos,int32,rm,width,none,OK,fail,[1..49],1.000000,
acos,int32,tile,block,none,OK,fail,[1..49],1.000000,
acos,int32,tile,dram,none,OK,fail,[1..49],1.000000,
acos,int32,tile,height,none,OK,fail,[1..49],1.000000,
acos,int32,tile,l1,none,OK,fail,[1..49],1.000000,
acos,int32,tile,width,none,OK,fail,[1..49],1.000000,
acos,uint16,rm,block,none,OK,fail,[1..49],1.000000,
acos,uint16,rm,dram,none,OK,fail,[1..49],1.000000,
acos,uint16,rm,height,none,OK,fail,[1..49],1.000000,
acos,uint16,rm,l1,none,OK,fail,[1..49],1.000000,
acos,uint16,rm,width,none,OK,fail,[1..49],1.000000,
acos,uint16,tile,block,none,OK,fail,[1..49],1.000000,
acos,uint16,tile,dram,none,OK,fail,[1..49],1.000000,
acos,uint16,tile,height,none,OK,fail,[1..49],1.000000,
acos,uint16,tile,l1,none,OK,fail,[1..49],1.000000,
acos,uint16,tile,width,none,OK,fail,[1..49],1.000000,
acos,uint32,rm,block,none,OK,fail,[1..49],1.000000,
acos,uint32,rm,dram,none,OK,fail,[1..49],1.000000,
