op,dtype,layout,mem,accepted,pcc_or_reason,input_range,pcc,ulp
acos,float32,rm,dram,OK,pass,[0.1..0.85],1.000000,53.000
acos,int32,rm,dram,OK,fail,[1..49],1.000000,
acos,uint32,rm,dram,OK,fail,[1..49],1.000000,
acos,uint16,rm,dram,OK,fail,[1..49],1.000000,
acos,uint8,rm,dram,OK,fail,[1..49],1.000000,
acos,bfloat16,rm,l1,OK,pass,[0.1..0.85],0.999974,0.000
acos,bfloat8_b,rm,l1,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,rm,l1,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,float32,rm,l1,OK,pass,[0.1..0.85],1.000000,52.000
acos,int32,rm,l1,OK,fail,[1..49],1.000000,
acos,uint32,rm,l1,OK,fail,[1..49],1.000000,
acos,uint16,rm,l1,OK,fail,[1..49],1.000000,
acos,uint8,rm,l1,OK,fail,[1..49],1.000000,
acos,bfloat16,rm,height,OK,pass,[0.1..0.85],0.999972,0.000
acos,bfloat8_b,rm,height,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,rm,height,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,float32,rm,height,OK,pass,[0.1..0.85],1.000000,53.000
acos,int32,rm,height,OK,fail,[1..49],1.000000,
acos,uint32,rm,height,OK,fail,[1..49],1.000000,
acos,uint16,rm,height,OK,fail,[1..49],1.000000,
acos,uint8,rm,height,OK,fail,[1..49],1.000000,
acos,bfloat16,rm,width,OK,pass,[0.1..0.85],0.999972,0.000
acos,bfloat8_b,rm,width,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,rm,width,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,float32,rm,width,OK,pass,[0.1..0.85],1.000000,54.000
acos,int32,rm,width,OK,fail,[1..49],1.000000,
acos,uint32,rm,width,OK,fail,[1..49],1.000000,
acos,uint16,rm,width,OK,fail,[1..49],1.000000,
acos,uint8,rm,width,OK,fail,[1..49],1.000000,
acos,bfloat16,rm,block,OK,pass,[0.1..0.85],0.999973,0.000
acos,bfloat8_b,rm,block,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,bfloat4_b,rm,block,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[0.1..0.85],,
acos,float32,rm,block,OK,pass,[0.1..0.85],1.000000,54.000
acos,int32,rm,block,OK,fail,[1..49],1.000000,
acos,uint32,rm,block,OK,fail,[1..49],1.000000,
acos,uint16,rm,block,OK,fail,[1..49],1.000000,
acos,uint8,rm,block,OK,fail,[1..49],1.000000,
acosh,bfloat16,tile,dram,OK,pass,[1.1..5.0],0.999976,1.000
acosh,bfloat8_b,tile,dram,OK,pass,[1.1..5.0],0.999539,19.000
acosh,bfloat4_b,tile,dram,OK,pass,[1.1..5.0],0.952544,
acosh,float32,tile,dram,OK,pass,[1.1..5.0],0.999999,33607.000
acosh,int32,tile,dram,OK,fail,[1..49],,
acosh,uint32,tile,dram,OK,fail,[1..49],,
acosh,uint16,tile,dram,OK,fail,[1..49],,
acosh,uint8,tile,dram,OK,fail,[1..49],,
acosh,bfloat16,tile,l1,OK,pass,[1.1..5.0],0.999974,1.000
acosh,bfloat8_b,tile,l1,OK,pass,[1.1..5.0],0.999542,27.000
acosh,bfloat4_b,tile,l1,OK,pass,[1.1..5.0],0.952200,
acosh,float32,tile,l1,OK,pass,[1.1..5.0],0.999999,37032.000
acosh,int32,tile,l1,OK,fail,[1..49],,
acosh,uint32,tile,l1,OK,fail,[1..49],,
acosh,uint16,tile,l1,OK,fail,[1..49],,
acosh,uint8,tile,l1,OK,fail,[1..49],,
acosh,bfloat16,tile,height,OK,pass,[1.1..5.0],0.999977,1.000
acosh,bfloat8_b,tile,height,OK,pass,[1.1..5.0],0.999502,28.000
acosh,bfloat4_b,tile,height,OK,pass,[1.1..5.0],0.956373,
acosh,float32,tile,height,OK,pass,[1.1..5.0],0.999999,38642.000
acosh,int32,tile,height,OK,fail,[1..49],,
acosh,uint32,tile,height,OK,fail,[1..49],,
acosh,uint16,tile,height,OK,fail,[1..49],,
acosh,uint8,tile,height,OK,fail,[1..49],,
acosh,bfloat16,tile,width,OK,pass,[1.1..5.0],0.999976,1.000
acosh,bfloat8_b,tile,width,OK,pass,[1.1..5.0],0.999516,23.000
acosh,bfloat4_b,tile,width,OK,pass,[1.1..5.0],0.951516,
acosh,float32,tile,width,OK,pass,[1.1..5.0],0.999999,26499.000
acosh,int32,tile,width,OK,fail,[1..49],,
acosh,uint32,tile,width,OK,fail,[1..49],,
acosh,uint16,tile,width,OK,fail,[1..49],,
acosh,uint8,tile,width,OK,fail,[1..49],,
acosh,bfloat16,tile,block,OK,pass,[1.1..5.0],0.999976,1.000
acosh,bfloat8_b,tile,block,OK,pass,[1.1..5.0],0.999524,29.000
acosh,bfloat4_b,tile,block,OK,pass,[1.1..5.0],0.956967,
acosh,float32,tile,block,OK,pass,[1.1..5.0],0.999999,39690.000
acosh,int32,tile,block,OK,fail,[1..49],,
acosh,uint32,tile,block,OK,fail,[1..49],,
acosh,uint16,tile,block,OK,fail,[1..49],,
acosh,uint8,tile,block,OK,fail,[1..49],,
acosh,bfloat16,rm,dram,OK,pass,[1.1..5.0],0.999975,1.000
acosh,bfloat8_b,rm,dram,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,bfloat4_b,rm,dram,FAIL,TT_FATAL @ /home/ubuntu/tt-metal/ttnn/core/tensor/py_to_tt_tensor.cpp:372: layout == Layout::TILE | info: | Layout must be Layout::TILE for bfloat8_b or bfloat4_b!,[1.1..5.0],,
acosh,float32,rm,dram,OK,pass,[1.1..5.0],0.999999,39225.000
acosh,int32,rm,dram,OK,fail,[1..49],,
acosh,uint32,rm,dram,OK,fail,[1..49],,
acosh,uint16,rm,dram,OK,fail,[1..49],,
acosh,uint8,rm,dram,OK,fail,[1..49],,
